market,language_status,product,channel,utm_source,utm_medium,utm_campaign,utm_content,target_url,usage_note
Russia,ru live,3K laminate sheet,email outreach,email_outreach,sales,3k_plate_ru_2026,ru_plate_email,https://www.myfrphome.com/ru/products/3k-carbon-fiber-laminate-sheet?utm_source=email_outreach&utm_medium=sales&utm_campaign=3k_plate_ru_2026&utm_content=ru_plate_email,Use only after counterparty and end-use review
Russia,ru live,3K laminate sheet,approved directory or partner,referral_partner,referral,3k_plate_ru_2026,ru_plate_profile,https://www.myfrphome.com/ru/products/3k-carbon-fiber-laminate-sheet?utm_source=referral_partner&utm_medium=referral&utm_campaign=3k_plate_ru_2026&utm_content=ru_plate_profile,Do not buy links or use unreviewed directories
Russia,ru live,Multiaxial NCF,email outreach,email_outreach,sales,ncf_ru_2026,ru_ncf_email,https://www.myfrphome.com/ru/products/carbon-fiber-multiaxial-ncf-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=ncf_ru_2026&utm_content=ru_ncf_email,Use separate product and query tracking
Russia,ru live,Multiaxial NCF,approved directory or partner,referral_partner,referral,ncf_ru_2026,ru_ncf_profile,https://www.myfrphome.com/ru/products/carbon-fiber-multiaxial-ncf-fabric?utm_source=referral_partner&utm_medium=referral&utm_campaign=ncf_ru_2026&utm_content=ru_ncf_profile,Use only after compliance review
Poland,pl live,3K laminate sheet,email outreach,email_outreach,sales,3k_plate_pl_2026,pl_plate_email,https://www.myfrphome.com/pl/products/3k-carbon-fiber-laminate-sheet?utm_source=email_outreach&utm_medium=sales&utm_campaign=3k_plate_pl_2026&utm_content=pl_plate_email,Use Polish page for qualified commercial contacts
Poland,pl live,3K laminate sheet,approved directory or partner,referral_partner,referral,3k_plate_pl_2026,pl_plate_profile,https://www.myfrphome.com/pl/products/3k-carbon-fiber-laminate-sheet?utm_source=referral_partner&utm_medium=referral&utm_campaign=3k_plate_pl_2026&utm_content=pl_plate_profile,No automated directory submission
South Korea,ko live,3K laminate sheet,email outreach,email_outreach,sales,3k_plate_ko_2026,ko_plate_email,https://www.myfrphome.com/ko/products/3k-carbon-fiber-laminate-sheet?utm_source=email_outreach&utm_medium=sales&utm_campaign=3k_plate_ko_2026&utm_content=ko_plate_email,Use Korean page for qualified commercial contacts
South Korea,ko live,3K laminate sheet,approved directory or partner,referral_partner,referral,3k_plate_ko_2026,ko_plate_profile,https://www.myfrphome.com/ko/products/3k-carbon-fiber-laminate-sheet?utm_source=referral_partner&utm_medium=referral&utm_campaign=3k_plate_ko_2026&utm_content=ko_plate_profile,Naver action needs an owner session
Ukraine,uk not published,3K laminate sheet,email outreach,email_outreach,sales,3k_plate_ua_2026,ua_plate_english,https://www.myfrphome.com/products/3k-carbon-fiber-laminate-sheet?utm_source=email_outreach&utm_medium=sales&utm_campaign=3k_plate_ua_2026&utm_content=ua_plate_english,Use English until reviewed Ukrainian page exists
Vietnam,vi not published,3K laminate sheet,email outreach,email_outreach,sales,3k_plate_vn_2026,vn_plate_english,https://www.myfrphome.com/products/3k-carbon-fiber-laminate-sheet?utm_source=email_outreach&utm_medium=sales&utm_campaign=3k_plate_vn_2026&utm_content=vn_plate_english,Use English until reviewed Vietnamese page exists
Thailand,th not published,3K laminate sheet,email outreach,email_outreach,sales,3k_plate_th_2026,th_plate_english,https://www.myfrphome.com/products/3k-carbon-fiber-laminate-sheet?utm_source=email_outreach&utm_medium=sales&utm_campaign=3k_plate_th_2026&utm_content=th_plate_english,Use English until reviewed Thai page exists
