owner,use_case,locale,url
Salesperson A,Woven fabric,en,https://www.myfrphome.com/products/carbon-fiber-woven-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=woven_fabric
Salesperson A,Woven fabric,es,https://www.myfrphome.com/es/products/carbon-fiber-woven-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=woven_fabric_es
Salesperson A,Woven fabric,pt-br,https://www.myfrphome.com/pt-br/products/carbon-fiber-woven-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=woven_fabric_ptbr
Salesperson A,Spread tow fabric,en,https://www.myfrphome.com/products/spread-tow-carbon-fiber-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=spread_tow
Salesperson A,Spread tow fabric,es,https://www.myfrphome.com/es/products/spread-tow-carbon-fiber-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=spread_tow_es
Salesperson A,Spread tow fabric,pt-br,https://www.myfrphome.com/pt-br/products/spread-tow-carbon-fiber-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=spread_tow_ptbr
Salesperson A,UD fabric,en,https://www.myfrphome.com/products/carbon-fiber-ud-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=ud_fabric
Salesperson A,UD fabric,es,https://www.myfrphome.com/es/products/carbon-fiber-ud-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=ud_fabric_es
Salesperson A,UD fabric,pt-br,https://www.myfrphome.com/pt-br/products/carbon-fiber-ud-fabric?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=ud_fabric_ptbr
Salesperson A,Prepreg,en,https://www.myfrphome.com/products/prepreg-carbon-fiber-materials?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=prepreg
