id,cluster,keyword,intent,priority,target_url,page_status
1,Woven fabric,carbon fiber fabric,Commercial,P1,/products/carbon-fiber-woven-fabric,Existing
2,Woven fabric,carbon fiber cloth,Commercial,P1,/products/carbon-fiber-woven-fabric,Existing
3,Woven fabric,carbon fiber fabric supplier,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
4,Woven fabric,carbon fiber fabric manufacturer,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
5,Woven fabric,carbon fiber cloth supplier China,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
6,Woven fabric,3K carbon fiber fabric,Commercial,P1,/products/carbon-fiber-woven-fabric,Existing
7,Woven fabric,3K twill carbon fiber fabric,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
8,Woven fabric,3K 200gsm twill carbon fiber fabric,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
9,Woven fabric,3K plain weave carbon fiber fabric,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
10,Woven fabric,12K carbon fiber fabric,Commercial,P2,/products/carbon-fiber-woven-fabric,Existing
11,Woven fabric,carbon fiber fabric roll,Transactional,P2,/products/carbon-fiber-woven-fabric,Existing
12,Woven fabric,carbon fiber fabric custom width,Transactional,P2,/products/carbon-fiber-woven-fabric,Existing
13,Woven fabric,plain vs twill carbon fiber fabric,Informational,P2,/technical-center/plain-vs-twill-carbon-fiber-fabric,Existing
14,Woven fabric,3K vs 12K carbon fiber fabric,Informational,P2,/technical-center/3k-vs-12k-carbon-fiber-fabric,Existing
15,Woven fabric,how to choose carbon fiber fabric GSM,Informational,P2,/technical-center/how-to-choose-carbon-fiber-fabric-by-gsm,Existing
16,UD fabric,UD carbon fiber fabric,Commercial,P1,/products/carbon-fiber-ud-fabric,Existing
17,UD fabric,unidirectional carbon fiber fabric,Commercial,P1,/products/carbon-fiber-ud-fabric,Existing
18,UD fabric,UD carbon fiber fabric supplier,Transactional,P1,/products/carbon-fiber-ud-fabric,Existing
19,UD fabric,unidirectional carbon fiber cloth China,Transactional,P2,/products/carbon-fiber-ud-fabric,Existing
20,UD fabric,300gsm UD carbon fiber fabric,Transactional,P1,/products/carbon-fiber-ud-fabric,Existing
21,UD fabric,600gsm UD carbon fiber fabric,Transactional,P2,/products/carbon-fiber-ud-fabric,Existing
22,UD fabric,UD carbon fiber tape,Commercial,P2,/products/carbon-fiber-ud-fabric,Existing
23,UD fabric,UD carbon fiber fabric for pultrusion,Commercial,P2,/products/carbon-fiber-ud-fabric,Existing
24,UD fabric,UD vs woven carbon fiber fabric,Informational,P1,/technical-center/ud-carbon-fiber-fabric-vs-woven-carbon-fiber-fabric,Existing
25,UD fabric,carbon fiber layup direction guide,Informational,P2,/technical-center/ud-carbon-fiber-layup-direction-guide,Planned
26,Spread tow,spread tow carbon fiber fabric,Commercial,P1,/products/spread-tow-carbon-fiber-fabric,Existing
27,Spread tow,spread tow carbon fabric supplier,Transactional,P1,/products/spread-tow-carbon-fiber-fabric,Existing
28,Spread tow,spread tow fabric manufacturer China,Transactional,P2,/products/spread-tow-carbon-fiber-fabric,Existing
29,Spread tow,8x8mm spread tow carbon fabric,Transactional,P1,/products/spread-tow-carbon-fiber-fabric,Existing
30,Spread tow,10x10mm spread tow carbon fabric,Transactional,P1,/products/spread-tow-carbon-fiber-fabric,Existing
31,Spread tow,12K spread tow carbon fiber fabric,Commercial,P2,/products/spread-tow-carbon-fiber-fabric,Existing
32,Spread tow,spread tow prepreg for thin laminates,Commercial,P2,/products/prepreg-carbon-fiber-materials,Existing
33,Spread tow,spread tow vs woven carbon fiber fabric,Informational,P2,/technical-center/spread-tow-vs-traditional-carbon-fiber-fabric,Existing
34,Spread tow,8x8 vs 10x10 spread tow fabric,Informational,P2,/technical-center/8x8-vs-10x10-spread-tow-carbon-fabric,Planned
35,Spread tow,spread tow carbon fiber for cosmetic panels,Commercial,P3,/products/spread-tow-carbon-fiber-fabric,Existing
36,Prepreg,carbon fiber prepreg,Commercial,P1,/products/prepreg-carbon-fiber-materials,Existing
37,Prepreg,carbon fiber prepreg supplier,Transactional,P1,/products/prepreg-carbon-fiber-materials,Existing
38,Prepreg,carbon fiber prepreg manufacturer China,Transactional,P1,/products/prepreg-carbon-fiber-materials,Existing
39,Prepreg,woven carbon fiber prepreg,Commercial,P1,/products/prepreg-carbon-fiber-materials,Existing
40,Prepreg,UD carbon fiber prepreg,Commercial,P1,/products/prepreg-carbon-fiber-materials,Existing
41,Prepreg,spread tow carbon fiber prepreg,Commercial,P2,/products/prepreg-carbon-fiber-materials,Existing
42,Prepreg,carbon fiber prepreg roll,Transactional,P2,/products/prepreg-carbon-fiber-materials,Existing
43,Prepreg,prepreg vs dry carbon fiber fabric,Informational,P1,/technical-center/prepreg-vs-dry-carbon-fiber-fabric,Existing
44,Prepreg,carbon fiber prepreg storage guide,Informational,P2,/technical-center/carbon-fiber-prepreg-storage-handling,Planned
45,Prepreg,carbon fiber prepreg RFQ,Transactional,P2,/products/prepreg-carbon-fiber-materials,Existing
46,Yarn and tow,carbon fiber tow,Commercial,P1,/products/carbon-fiber-yarn-and-tow,Existing
47,Yarn and tow,carbon fiber yarn,Commercial,P1,/products/carbon-fiber-yarn-and-tow,Existing
48,Yarn and tow,carbon fiber tow supplier,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
49,Yarn and tow,carbon fiber yarn supplier China,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
50,Yarn and tow,3K carbon fiber tow,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
51,Yarn and tow,12K carbon fiber tow,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
52,Yarn and tow,24K carbon fiber tow,Transactional,P2,/products/carbon-fiber-yarn-and-tow,Existing
53,Yarn and tow,48K carbon fiber tow,Transactional,P2,/products/carbon-fiber-yarn-and-tow,Existing
