record_id,cluster,organization,domain,country,opportunity_type,contact_name,contact_url,email,utm_campaign,target_url,review_status,outreach_date,followup_date,response_status,live_url,notes
1,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
2,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
3,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
4,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
5,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
6,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
7,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
8,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
9,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
10,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
11,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
12,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
13,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
14,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
15,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
16,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
17,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
18,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
19,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
20,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
21,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
22,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
23,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
24,NCF,,,,Directory/Media/Partner,,,,ncf_2026,/products/carbon-fiber-multiaxial-ncf-fabric,Planned,,,,,
25,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
26,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
27,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
28,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
29,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
30,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
31,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
32,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
33,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
34,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
35,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
36,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
37,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
38,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
39,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
40,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
41,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
42,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
43,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
44,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
45,3K Plate,,,,Directory/Media/Partner,,,,3k_plate_2026,/products/3k-carbon-fiber-laminate-sheet,Planned,,,,,
46,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
47,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
48,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
49,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
50,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
51,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
52,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
53,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
54,Yarn & Tow,,,,Directory/Media/Partner,,,,yarn_tow_2026,/products/carbon-fiber-yarn-and-tow,Planned,,,,,
