id,cluster,russian_query,english_intent,intent_type,priority,target_url,content_status,next_action
1,Multiaxial NCF,мультиаксиальная углеродная ткань,carbon fiber multiaxial fabric,Commercial,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Add to Yandex saved query group after verification
2,Multiaxial NCF,поставщик мультиаксиальной углеродной ткани,carbon fiber multiaxial fabric supplier,Transactional,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor query and URL impressions
3,Multiaxial NCF,купить мультиаксиальную углеродную ткань,bulk buy multiaxial carbon fabric,Transactional,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor query and URL impressions
4,Multiaxial NCF,углеродная ткань NCF,carbon NCF fabric,Commercial,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Add to Yandex saved query group after verification
5,Multiaxial NCF,поставщик углеродной ткани NCF,carbon NCF supplier,Transactional,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor query and URL impressions
6,Multiaxial NCF,биаксиальная углеродная ткань,biaxial carbon fiber fabric,Commercial,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Add to Yandex saved query group after verification
7,Multiaxial NCF,двухосная углеродная ткань,biaxial carbon reinforcement,Commercial,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor terminology used by buyers
8,Multiaxial NCF,углеродная ткань +45 -45,+45 -45 carbon fabric,Transactional,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor query and URL impressions
9,Multiaxial NCF,углеродная ткань 0 90,0 90 carbon fabric,Transactional,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor query and URL impressions
10,Multiaxial NCF,биаксиальная углеродная ткань 300 г м2,300gsm biaxial carbon fabric,Transactional,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Keep 300gsm TDS visible
11,Multiaxial NCF,биаксиальная углеродная ткань 600 г м2,600gsm biaxial carbon fabric,Transactional,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Keep 600gsm TDS visible
12,Multiaxial NCF,трехосная углеродная ткань,triaxial carbon fabric,Commercial,P2,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Do not add values without source data
13,Multiaxial NCF,четырехосная углеродная ткань,quadriaxial carbon fabric,Commercial,P2,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Do not add values without source data
14,Multiaxial NCF,углеродная ткань для вакуумной инфузии,carbon fabric for vacuum infusion,Commercial,P1,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor process intent
15,Multiaxial NCF,углеродная ткань для RTM,carbon fabric for RTM,Commercial,P2,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Monitor process intent
16,Multiaxial NCF,углеродная NCF ткань нестандартной ширины,custom width carbon NCF,Transactional,P2,/ru/products/carbon-fiber-multiaxial-ncf-fabric,Live,Retain width as RFQ field
17,3K Laminate Sheet,углепластиковая плита 3K,3K carbon fiber plate,Commercial,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Add to Yandex saved query group after verification
18,3K Laminate Sheet,лист углепластика 3K,3K carbon fiber sheet,Commercial,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Monitor plate versus sheet terminology
19,3K Laminate Sheet,купить углепластиковую плиту 3K,buy 3K carbon plate,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Monitor query and URL impressions
20,3K Laminate Sheet,поставщик листового углепластика,carbon sheet supplier,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Monitor query and URL impressions
21,3K Laminate Sheet,саржевый лист углепластика 3K,3K twill carbon sheet,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Keep surface weave clear
22,3K Laminate Sheet,матовая углепластиковая плита,matte carbon plate,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Keep finish as RFQ field
23,3K Laminate Sheet,глянцевая углепластиковая плита,glossy carbon plate,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Keep finish as RFQ field
24,3K Laminate Sheet,углепластиковая плита под ЧПУ,carbon plate for CNC machining,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Monitor CNC intent
25,3K Laminate Sheet,резка углепластика ЧПУ,CNC cutting carbon fiber sheet,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Route drawing based RFQs here
26,3K Laminate Sheet,сверление углепластиковой плиты,carbon plate drilling,Commercial,P2,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Retain machining review language
27,3K Laminate Sheet,углепластиковая плита по чертежу,custom drawing carbon plate,Transactional,P1,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Route drawing based RFQs here
28,3K Laminate Sheet,углепластиковая панель на заказ,custom carbon panel,Transactional,P2,/ru/products/3k-carbon-fiber-laminate-sheet,Live,Do not publish unsupported tolerances
29,Yarn and Tow,углеродный жгут,carbon fiber tow,Commercial,P1,/ru/products/carbon-fiber-yarn-and-tow,Live,Add to Yandex saved query group after verification
30,Yarn and Tow,углеродная нить,carbon fiber yarn,Commercial,P1,/ru/products/carbon-fiber-yarn-and-tow,Live,Monitor yarn versus tow terminology
31,Yarn and Tow,поставщик углеродного жгута,carbon tow supplier,Transactional,P1,/ru/products/carbon-fiber-yarn-and-tow,Live,Monitor query and URL impressions
32,Yarn and Tow,купить углеродный жгут,buy carbon fiber tow,Transactional,P1,/ru/products/carbon-fiber-yarn-and-tow,Live,Monitor query and URL impressions
33,Yarn and Tow,углеродный жгут 1K,1K carbon tow,Transactional,P2,/ru/products/carbon-fiber-yarn-and-tow,Live,Confirm availability by quotation
